starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1613382238,xotask,0,0,training,highSC,easy,5,2987,['c'],0,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,1,0,training,highSC,easy,70,686,['n'],0,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,2,0,training,highSC,easy,71,985,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,3,0,training,highSC,average,18,1019,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,4,0,training,highSC,average,61,1335,['n'],0,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,5,0,training,highSC,hard,25,1137,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,6,0,training,highSC,easy,70,903,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,7,0,training,highSC,hard,50,918,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,8,0,training,highSC,hard,27,1018,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,9,0,training,highSC,easy,7,901,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,10,0,training,highSC,hard,25,1118,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,11,0,training,highSC,easy,71,902,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,12,0,training,highSC,hard,51,1085,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,13,0,training,highSC,hard,52,719,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,14,0,training,highSC,hard,50,1253,['n'],0,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,15,0,training,highSC,easy,70,784,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,16,0,training,highSC,hard,26,835,['c'],0,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,17,0,training,highSC,hard,50,802,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,18,0,training,highSC,hard,52,1453,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,19,0,training,highSC,hard,51,1402,['n'],0,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,20,0,training,highSC,average,60,702,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,21,0,training,highSC,easy,74,701,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,22,0,training,highSC,hard,27,903,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,23,0,training,highSC,average,62,835,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,0,1,training,highSC,hard,25,852,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,1,1,training,highSC,easy,5,719,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,2,1,training,highSC,hard,26,735,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,3,1,training,highSC,average,18,769,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,4,1,training,highSC,hard,54,702,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,5,1,training,highSC,average,64,803,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,6,1,training,highSC,average,60,934,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,7,1,training,highSC,easy,6,702,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,8,1,training,highSC,hard,52,1001,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,9,1,training,highSC,average,61,685,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,10,1,training,highSC,hard,53,553,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,11,1,training,highSC,hard,28,819,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,12,1,training,highSC,easy,73,901,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,13,1,training,highSC,average,62,1269,['n'],0,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,14,1,training,highSC,hard,54,602,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,15,1,training,highSC,hard,27,852,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,16,1,training,highSC,easy,70,719,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,17,1,training,highSC,easy,7,836,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,18,1,training,highSC,average,61,819,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,19,1,training,highSC,average,16,851,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,20,1,training,highSC,easy,7,602,['n'],1,right,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
,xotask,21,1,training,highSC,easy,74,635,['c'],1,left,none,-99,-99,,,,,,,,,,,42,18,Vrouw,Rechts,
