starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1613565298,dotcolour,0,0,training,mediumSC,hard,44,2220,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,1,0,training,mediumSC,easy,63,719,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,2,0,training,mediumSC,average,27,618,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,3,0,training,mediumSC,average,25,819,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,4,0,training,mediumSC,hard,44,552,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,5,0,training,mediumSC,hard,36,502,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,6,0,training,mediumSC,easy,15,401,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,7,0,training,mediumSC,hard,41,485,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,8,0,training,mediumSC,average,25,485,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,9,0,training,mediumSC,hard,38,486,['c'],0,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,10,0,training,mediumSC,hard,37,719,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,11,0,training,mediumSC,easy,63,500,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,12,0,training,mediumSC,easy,18,568,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,13,0,training,mediumSC,easy,18,435,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,14,0,training,mediumSC,average,55,385,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,15,0,training,mediumSC,hard,43,386,['n'],0,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,16,0,training,mediumSC,average,52,401,['n'],0,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,17,0,training,mediumSC,easy,61,419,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,18,0,training,mediumSC,average,53,418,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,19,0,training,mediumSC,hard,36,418,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,20,0,training,mediumSC,easy,15,469,['c'],0,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,21,0,training,mediumSC,average,51,584,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,22,0,training,mediumSC,average,28,402,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,23,0,training,mediumSC,hard,35,602,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,0,1,training,mediumSC,average,29,420,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,1,1,training,mediumSC,hard,36,369,['c'],0,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,2,1,training,mediumSC,hard,39,402,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,3,1,training,mediumSC,easy,65,518,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,4,1,training,mediumSC,easy,18,418,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,5,1,training,mediumSC,average,54,502,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,6,1,training,mediumSC,easy,65,535,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,7,1,training,mediumSC,hard,44,418,['n'],0,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,8,1,training,mediumSC,hard,38,419,['c'],0,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,9,1,training,mediumSC,average,25,535,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,10,1,training,mediumSC,easy,18,368,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,11,1,training,mediumSC,hard,45,401,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,12,1,training,mediumSC,easy,19,401,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
