starttime,task,withinblocktrial,block,running,selfconf,difflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1613565278,dotnumber,0,0,training,mediumSC,easy,50,28,1502,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,1,0,training,mediumSC,easy,73,50,1019,['n'],0,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,2,0,training,mediumSC,easy,72,50,786,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,3,0,training,mediumSC,easy,29,50,785,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,4,0,training,mediumSC,easy,26,50,768,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,5,0,training,mediumSC,hard,48,50,918,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,6,0,training,mediumSC,easy,27,50,836,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,7,0,training,mediumSC,hard,53,50,952,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,8,0,training,mediumSC,average,50,64,769,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,9,0,training,mediumSC,average,36,50,985,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,10,0,training,mediumSC,average,50,35,901,['n'],0,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,11,0,training,mediumSC,hard,50,47,1836,['n'],0,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,12,0,training,mediumSC,easy,50,29,818,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,13,0,training,mediumSC,average,39,50,635,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,14,0,training,mediumSC,easy,50,73,768,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,15,0,training,mediumSC,hard,50,48,1319,['n'],0,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,16,0,training,mediumSC,easy,50,71,1285,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,17,0,training,mediumSC,hard,53,50,1103,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,18,0,training,mediumSC,easy,50,25,852,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,19,0,training,mediumSC,average,50,62,852,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,20,0,training,mediumSC,easy,72,50,735,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,21,0,training,mediumSC,easy,50,73,834,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,22,0,training,mediumSC,hard,50,54,735,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,23,0,training,mediumSC,hard,49,50,786,['c'],0,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,0,1,training,mediumSC,average,50,61,668,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,1,1,training,mediumSC,hard,54,50,602,['n'],0,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,2,1,training,mediumSC,hard,49,50,1170,['c'],0,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,3,1,training,mediumSC,hard,55,50,668,['n'],0,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,4,1,training,mediumSC,hard,50,55,669,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,5,1,training,mediumSC,average,37,50,752,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,6,1,training,mediumSC,hard,45,50,769,['c'],0,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,7,1,training,mediumSC,hard,50,48,669,['n'],0,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,8,1,training,mediumSC,hard,50,48,635,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,9,1,training,mediumSC,average,50,65,685,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,10,1,training,mediumSC,average,36,50,552,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,11,1,training,mediumSC,easy,50,71,668,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,12,1,training,mediumSC,hard,50,47,601,['n'],0,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,13,1,training,mediumSC,easy,27,50,518,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,14,1,training,mediumSC,easy,50,25,569,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,15,1,training,mediumSC,average,50,39,667,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,16,1,training,mediumSC,easy,25,50,669,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,17,1,training,mediumSC,average,35,50,634,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,18,1,training,mediumSC,easy,74,50,668,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,19,1,training,mediumSC,average,50,62,635,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,20,1,training,mediumSC,hard,50,46,802,['c'],1,left,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
,dotnumber,21,1,training,mediumSC,hard,50,55,652,['n'],1,right,none,-99,-99,,,,,,,,,,50,18,Vrouw,Rechts,
