"","sub","task","selfconf","coh","rt","resp","cor","cj","RTconf","block"
"1",1,"dotcolour","lowSC","easy",0.635,1,1,6,1.886,5
"2",1,"dotcolour","lowSC","average",0.435,1,1,6,0.267,5
"3",1,"dotcolour","lowSC","average",0.468,-1,1,1,0.552,5
"4",1,"dotcolour","lowSC","hard",1.703,-1,0,4,0.936,5
"5",1,"dotcolour","lowSC","hard",1.202,-1,1,5,0.717,5
"6",1,"dotcolour","lowSC","average",0.635,1,1,6,0.289,5
"7",1,"dotcolour","lowSC","average",0.735,-1,1,6,0.354,5
"8",1,"dotcolour","lowSC","hard",0.751,-1,1,5,0.273,5
"9",1,"dotcolour","lowSC","hard",0.869,-1,1,4,0.686,5
"10",1,"dotcolour","lowSC","easy",0.535,1,1,6,0.248,5
"11",1,"dotcolour","lowSC","average",0.886,1,1,5,0.277,5
"12",1,"dotcolour","lowSC","average",0.569,-1,1,6,0.206,5
"13",1,"dotcolour","lowSC","hard",0.868,-1,1,4,0.846,5
"14",1,"dotcolour","lowSC","average",0.468,1,1,5,0.229,5
"15",1,"dotcolour","lowSC","hard",0.685,-1,1,4,0.875,5
"16",1,"dotcolour","lowSC","average",0.601,-1,1,5,0.555,5
"17",1,"dotcolour","lowSC","average",0.518,-1,1,4,0.251,5
"18",1,"dotcolour","lowSC","hard",0.668,1,1,4,0.209,5
"19",1,"dotcolour","lowSC","hard",0.535,1,1,4,0.302,5
"20",1,"dotcolour","lowSC","easy",0.435,-1,1,6,0.188,5
"21",1,"dotcolour","lowSC","hard",0.635,-1,0,4,0.294,5
"22",1,"dotcolour","lowSC","easy",0.552,1,1,6,0.128,5
"23",1,"dotcolour","lowSC","easy",0.453,1,1,6,0.228,5
"24",1,"dotcolour","lowSC","hard",0.602,-1,1,4,1.102,5
"25",1,"dotcolour","lowSC","average",0.485,-1,1,5,0.264,5
"26",1,"dotcolour","lowSC","hard",0.568,1,1,4,0.338,5
"27",1,"dotcolour","lowSC","hard",0.501,-1,1,5,0.3,5
"28",1,"dotcolour","lowSC","easy",0.567,1,1,6,0.227,5
"29",1,"dotcolour","lowSC","hard",0.635,-1,0,4,0.428,5
"30",1,"dotcolour","lowSC","easy",0.468,-1,1,6,0.195,5
"31",1,"dotcolour","lowSC","easy",0.402,-1,1,6,0.215,5
"32",1,"dotcolour","lowSC","hard",0.785,1,0,3,0.394,5
"33",1,"dotcolour","lowSC","easy",0.652,-1,1,6,0.219,5
"34",1,"dotcolour","lowSC","easy",0.434,-1,1,6,0.204,5
"35",1,"dotcolour","lowSC","average",0.518,1,1,6,0.011,5
"36",1,"dotcolour","lowSC","easy",0.736,1,1,6,0.248,5
"37",1,"dotcolour","lowSC","average",0.551,-1,1,6,0.146,5
"38",1,"dotcolour","lowSC","easy",0.402,-1,1,6,0.247,5
"39",1,"dotcolour","lowSC","easy",0.468,1,1,6,0.246,5
"40",1,"dotcolour","lowSC","average",0.418,1,1,5,0.247,5
"41",1,"dotcolour","lowSC","hard",0.986,1,1,4,0.288,5
"42",1,"dotcolour","lowSC","hard",0.702,1,1,4,0.387,5
"43",1,"dotcolour","lowSC","easy",0.468,-1,1,6,0.252,5
"44",1,"dotcolour","lowSC","average",0.485,1,1,6,0.073,5
"45",1,"dotcolour","lowSC","average",0.503,-1,1,6,0.221,5
"46",1,"dotcolour","lowSC","easy",0.501,1,1,6,0.22,5
"47",1,"dotcolour","lowSC","average",0.486,-1,1,6,0.219,5
"48",1,"dotcolour","lowSC","easy",0.402,-1,1,6,0.205,5
"49",1,"dotcolour","lowSC","average",0.452,-1,1,6,0.19,5
"50",1,"dotcolour","lowSC","hard",0.952,-1,0,4,0.555,5
"51",1,"dotcolour","lowSC","hard",0.769,1,1,4,0.337,5
"52",1,"dotcolour","lowSC","average",0.535,1,1,5,0.297,5
"53",1,"dotcolour","lowSC","average",0.568,-1,1,6,0.241,5
"54",1,"dotcolour","lowSC","easy",0.45,1,1,6,0.176,5
"55",1,"dotcolour","lowSC","hard",0.918,-1,1,3,0.512,5
"56",1,"dotcolour","lowSC","easy",0.534,-1,1,6,2.241,5
"57",1,"dotcolour","lowSC","hard",0.869,-1,1,6,0.206,5
"58",1,"dotcolour","lowSC","hard",1.168,-1,1,4,0.321,5
"59",1,"dotcolour","lowSC","average",0.619,1,1,5,0.246,5
"60",1,"dotcolour","lowSC","easy",0.469,1,1,6,0.229,5
"61",1,"dotcolour","lowSC","easy",0.752,-1,1,6,0.313,5
"62",1,"dotcolour","lowSC","average",0.935,1,1,5,1.138,5
"63",1,"dotcolour","lowSC","hard",1.002,-1,0,4,0.566,5
"64",1,"dotcolour","lowSC","hard",0.835,-1,0,3,0.472,5
"65",1,"dotcolour","lowSC","easy",0.535,1,1,6,0.379,5
"66",1,"dotcolour","lowSC","easy",0.418,1,1,5,0.23,5
"67",1,"dotcolour","lowSC","hard",0.518,-1,1,4,0.227,5
"68",1,"dotcolour","lowSC","average",0.802,1,1,4,0.757,5
"69",1,"dotcolour","lowSC","average",0.419,1,1,6,0.849,5
"70",1,"dotcolour","lowSC","easy",0.701,-1,1,6,0.493,5
"71",1,"dotcolour","lowSC","easy",0.585,-1,1,6,0.206,5
"72",1,"dotcolour","lowSC","average",0.402,-1,1,5,0.224,5
"73",1,"dotcolour","lowSC","easy",0.501,1,1,6,0.314,6
"74",1,"dotcolour","lowSC","easy",0.451,-1,1,6,0.389,6
"75",1,"dotcolour","lowSC","average",0.451,1,1,6,0.191,6
"76",1,"dotcolour","lowSC","average",0.451,-1,1,5,0.208,6
"77",1,"dotcolour","lowSC","easy",0.434,1,1,6,0.194,6
"78",1,"dotcolour","lowSC","easy",0.452,1,1,6,0.18,6
"79",1,"dotcolour","lowSC","hard",0.668,-1,0,4,0.253,6
"80",1,"dotcolour","lowSC","average",0.486,-1,1,5,0.25,6
"81",1,"dotcolour","lowSC","hard",0.536,1,1,5,0.197,6
"82",1,"dotcolour","lowSC","average",0.368,1,1,6,0.202,6
"83",1,"dotcolour","lowSC","easy",0.419,-1,1,6,0.444,6
"84",1,"dotcolour","lowSC","average",0.368,1,1,5,0.263,6
"85",1,"dotcolour","lowSC","easy",0.485,-1,1,6,0.132,6
"86",1,"dotcolour","lowSC","hard",0.818,-1,1,5,0.201,6
"87",1,"dotcolour","lowSC","easy",0.367,1,1,6,0.173,6
"88",1,"dotcolour","lowSC","easy",0.402,1,1,6,0.209,6
"89",1,"dotcolour","lowSC","average",0.418,1,1,6,0.195,6
"90",1,"dotcolour","lowSC","hard",0.635,-1,0,5,0.35,6
"91",1,"dotcolour","lowSC","average",0.768,1,1,4,0.235,6
"92",1,"dotcolour","lowSC","hard",0.802,-1,0,3,0.301,6
"93",1,"dotcolour","lowSC","hard",0.736,-1,1,4,0.302,6
"94",1,"dotcolour","lowSC","average",0.635,-1,0,1,0.275,6
"95",1,"dotcolour","lowSC","hard",0.652,-1,1,5,0.873,6
"96",1,"dotcolour","lowSC","hard",0.652,1,1,4,0.343,6
"97",1,"dotcolour","lowSC","hard",0.735,-1,1,5,1.078,6
"98",1,"dotcolour","lowSC","easy",0.468,-1,1,6,0.195,6
"99",1,"dotcolour","lowSC","hard",0.719,1,0,6,0.538,6
"100",1,"dotcolour","lowSC","average",0.602,-1,1,5,0.023,6
"101",1,"dotcolour","lowSC","hard",0.985,-1,1,4,0.298,6
"102",1,"dotcolour","lowSC","hard",0.567,1,1,5,0.194,6
"103",1,"dotcolour","lowSC","hard",0.519,-1,0,2,0.257,6
"104",1,"dotcolour","lowSC","average",0.55,1,1,5,0.204,6
"105",1,"dotcolour","lowSC","average",0.652,-1,1,4,0.244,6
"106",1,"dotcolour","lowSC","easy",0.485,1,1,6,0.259,6
"107",1,"dotcolour","lowSC","easy",0.451,-1,1,6,0.21,6
"108",1,"dotcolour","lowSC","easy",0.433,1,1,6,0.227,6
"109",1,"dotcolour","lowSC","average",0.485,1,1,6,0.258,6
"110",1,"dotcolour","lowSC","average",0.736,1,1,5,0.245,6
"111",1,"dotcolour","lowSC","average",0.518,-1,1,6,0.226,6
"112",1,"dotcolour","lowSC","hard",0.769,1,1,5,0.293,6
"113",1,"dotcolour","lowSC","easy",0.418,1,1,6,0.116,6
"114",1,"dotcolour","lowSC","average",0.519,-1,1,6,0.262,6
"115",1,"dotcolour","lowSC","average",0.534,-1,0,2,0.305,6
"116",1,"dotcolour","lowSC","easy",0.702,-1,1,6,0.196,6
"117",1,"dotcolour","lowSC","easy",0.719,-1,1,6,0.235,6
"118",1,"dotcolour","lowSC","average",1.035,1,0,4,0.419,6
"119",1,"dotcolour","lowSC","easy",0.519,-1,1,6,0.216,6
"120",1,"dotcolour","lowSC","easy",0.501,1,1,6,0.326,6
"121",1,"dotcolour","lowSC","average",0.484,-1,1,5,0.241,6
"122",1,"dotcolour","lowSC","easy",0.517,-1,1,5,0.493,6
"123",1,"dotcolour","lowSC","hard",0.669,-1,1,4,0.218,6
"124",1,"dotcolour","lowSC","easy",0.467,1,1,6,0.281,6
"125",1,"dotcolour","lowSC","hard",0.951,1,0,4,0.61,6
"126",1,"dotcolour","lowSC","easy",0.468,1,1,5,0.243,6
"127",1,"dotcolour","lowSC","easy",0.451,1,1,6,0.194,6
"128",1,"dotcolour","lowSC","hard",0.484,1,1,4,0.195,6
"129",1,"dotcolour","lowSC","hard",0.919,1,0,4,0.241,6
"130",1,"dotcolour","lowSC","average",0.568,-1,1,5,0.236,6
"131",1,"dotcolour","lowSC","hard",0.902,-1,0,4,0.217,6
"132",1,"dotcolour","lowSC","average",0.551,1,1,6,0.213,6
"133",1,"dotcolour","lowSC","hard",0.635,-1,1,5,0.59,6
"134",1,"dotcolour","lowSC","easy",0.417,-1,1,6,0.224,6
"135",1,"dotcolour","lowSC","easy",0.468,-1,1,6,0.24,6
"136",1,"dotcolour","lowSC","hard",0.852,-1,1,3,0.783,6
"137",1,"dotcolour","lowSC","average",0.952,1,1,5,0.228,6
"138",1,"dotcolour","lowSC","average",0.601,-1,1,4,0.462,6
"139",1,"dotcolour","lowSC","easy",0.785,-1,1,6,0.199,6
"140",1,"dotcolour","lowSC","average",0.819,-1,1,5,0.329,6
"141",1,"dotcolour","lowSC","hard",0.819,1,1,5,0.342,6
"142",1,"dotcolour","lowSC","hard",0.585,-1,0,3,0.252,6
"143",1,"dotcolour","lowSC","hard",1.102,-1,1,4,0.688,6
"144",1,"dotcolour","lowSC","average",0.435,-1,1,4,0.27,6
"145",1,"dotcolour","lowSC","average",0.619,1,1,6,0.777,7
"146",1,"dotcolour","lowSC","hard",0.602,-1,1,4,0.237,7
"147",1,"dotcolour","lowSC","average",0.502,-1,1,5,0.363,7
"148",1,"dotcolour","lowSC","average",0.501,1,1,6,0.019,7
"149",1,"dotcolour","lowSC","easy",0.535,-1,1,6,0.168,7
"150",1,"dotcolour","lowSC","average",0.519,-1,1,5,0.232,7
"151",1,"dotcolour","lowSC","easy",0.469,-1,1,6,0.055,7
"152",1,"dotcolour","lowSC","easy",0.418,1,1,6,0.207,7
"153",1,"dotcolour","lowSC","easy",0.484,-1,1,6,0.207,7
"154",1,"dotcolour","lowSC","easy",0.652,1,1,6,0.216,7
"155",1,"dotcolour","lowSC","hard",0.601,-1,1,4,0.401,7
"156",1,"dotcolour","lowSC","hard",0.768,1,0,4,0.221,7
"157",1,"dotcolour","lowSC","easy",0.451,-1,1,6,0.206,7
"158",1,"dotcolour","lowSC","easy",0.468,1,1,6,0.174,7
"159",1,"dotcolour","lowSC","easy",0.501,-1,1,6,0.206,7
"160",1,"dotcolour","lowSC","easy",0.502,-1,1,6,0.205,7
"161",1,"dotcolour","lowSC","easy",0.468,1,1,6,0.205,7
"162",1,"dotcolour","lowSC","hard",0.702,1,1,4,0.66,7
"163",1,"dotcolour","lowSC","hard",0.618,-1,1,3,0.38,7
"164",1,"dotcolour","lowSC","average",0.551,1,1,6,0.209,7
"165",1,"dotcolour","lowSC","average",0.535,1,1,4,0.207,7
"166",1,"dotcolour","lowSC","hard",1.236,1,0,3,0.399,7
"167",1,"dotcolour","lowSC","average",0.618,-1,1,6,0.209,7
"168",1,"dotcolour","lowSC","easy",0.667,-1,1,6,0.265,7
"169",1,"dotcolour","lowSC","average",0.534,1,1,4,0.244,7
"170",1,"dotcolour","lowSC","hard",0.702,1,1,4,0.234,7
"171",1,"dotcolour","lowSC","hard",0.652,1,1,4,0.225,7
"172",1,"dotcolour","lowSC","easy",0.502,-1,1,5,0.783,7
"173",1,"dotcolour","lowSC","average",0.518,1,1,4,0.229,7
"174",1,"dotcolour","lowSC","hard",0.701,-1,1,4,0.779,7
"175",1,"dotcolour","lowSC","hard",0.767,1,1,3,0.248,7
"176",1,"dotcolour","lowSC","average",0.652,-1,1,4,0.222,7
"177",1,"dotcolour","lowSC","average",0.485,1,1,6,0.205,7
"178",1,"dotcolour","lowSC","easy",0.734,-1,1,5,0.274,7
"179",1,"dotcolour","lowSC","average",0.569,-1,1,5,0.252,7
"180",1,"dotcolour","lowSC","hard",1.051,-1,1,4,0.242,7
"181",1,"dotcolour","lowSC","average",0.586,-1,1,5,0.396,7
"182",1,"dotcolour","lowSC","hard",0.869,1,1,4,0.196,7
"183",1,"dotcolour","lowSC","easy",0.418,1,1,6,0.198,7
"184",1,"dotcolour","lowSC","hard",0.835,-1,0,3,0.2,7
"185",1,"dotcolour","lowSC","average",0.568,1,1,5,0.468,7
"186",1,"dotcolour","lowSC","hard",0.702,-1,1,4,0.399,7
"187",1,"dotcolour","lowSC","hard",0.752,-1,1,4,0.236,7
"188",1,"dotcolour","lowSC","hard",0.535,1,1,4,0.216,7
"189",1,"dotcolour","lowSC","easy",0.418,1,1,6,0.234,7
"190",1,"dotcolour","lowSC","hard",0.501,1,1,5,0.407,7
"191",1,"dotcolour","lowSC","average",0.485,-1,1,6,0.239,7
"192",1,"dotcolour","lowSC","average",0.519,1,1,6,0.204,7
"193",1,"dotcolour","lowSC","average",0.369,1,1,6,0.208,7
"194",1,"dotcolour","lowSC","easy",0.468,-1,1,6,0.208,7
"195",1,"dotcolour","lowSC","easy",0.451,1,1,6,0.193,7
"196",1,"dotcolour","lowSC","easy",0.384,1,1,6,0.213,7
"197",1,"dotcolour","lowSC","hard",0.752,1,1,3,0.218,7
"198",1,"dotcolour","lowSC","easy",0.451,-1,1,5,0.282,7
"199",1,"dotcolour","lowSC","average",0.867,1,1,4,0.215,7
"200",1,"dotcolour","lowSC","easy",0.502,1,1,6,0.388,7
"201",1,"dotcolour","lowSC","hard",0.768,-1,0,5,0.353,7
"202",1,"dotcolour","lowSC","easy",0.701,-1,1,5,3.345,7
"203",1,"dotcolour","lowSC","easy",0.484,-1,0,1,0.241,7
"204",1,"dotcolour","lowSC","average",0.651,1,0,2,0.68,7
"205",1,"dotcolour","lowSC","easy",0.619,1,1,6,0.255,7
"206",1,"dotcolour","lowSC","average",0.701,-1,1,6,0.227,7
"207",1,"dotcolour","lowSC","hard",0.901,-1,0,4,0.337,7
"208",1,"dotcolour","lowSC","hard",1.036,1,1,5,0.405,7
"209",1,"dotcolour","lowSC","hard",0.686,-1,1,4,0.308,7
"210",1,"dotcolour","lowSC","average",0.635,-1,1,4,0.601,7
"211",1,"dotcolour","lowSC","average",0.484,1,1,5,0.248,7
"212",1,"dotcolour","lowSC","hard",1.236,-1,1,4,0.279,7
"213",1,"dotcolour","lowSC","average",0.651,-1,1,4,0.221,7
"214",1,"dotcolour","lowSC","easy",0.501,1,1,6,0.187,7
"215",1,"dotcolour","lowSC","hard",1.068,-1,1,4,0.276,7
"216",1,"dotcolour","lowSC","average",0.535,-1,1,6,0.271,7
"217",1,"dotnumber","highSC","average",0.418,1,1,6,0.521,5
"218",1,"dotnumber","highSC","hard",0.385,-1,1,4,0.704,5
"219",1,"dotnumber","highSC","hard",0.401,1,0,4,0.255,5
"220",1,"dotnumber","highSC","hard",0.384,1,1,5,0.242,5
"221",1,"dotnumber","highSC","average",0.352,-1,1,5,0.278,5
"222",1,"dotnumber","highSC","easy",0.534,1,1,4,0.29,5
"223",1,"dotnumber","highSC","hard",0.701,1,1,4,0.773,5
"224",1,"dotnumber","highSC","hard",0.401,1,1,5,0.226,5
"225",1,"dotnumber","highSC","average",0.719,-1,1,4,0.216,5
"226",1,"dotnumber","highSC","average",0.435,1,1,5,0.201,5
"227",1,"dotnumber","highSC","hard",0.384,1,1,5,0.286,5
"228",1,"dotnumber","highSC","average",0.518,-1,1,5,0.249,5
"229",1,"dotnumber","highSC","hard",0.452,1,0,3,0.233,5
"230",1,"dotnumber","highSC","average",0.384,1,1,5,0.22,5
"231",1,"dotnumber","highSC","hard",0.402,1,0,6,0.223,5
"232",1,"dotnumber","highSC","average",0.434,-1,1,6,0.288,5
"233",1,"dotnumber","highSC","average",0.569,-1,1,5,0.218,5
"234",1,"dotnumber","highSC","easy",0.468,-1,1,6,0.218,5
"235",1,"dotnumber","highSC","easy",0.385,1,1,6,0.221,5
"236",1,"dotnumber","highSC","average",0.4,1,1,6,0.208,5
"237",1,"dotnumber","highSC","hard",0.451,1,1,3,0.242,5
"238",1,"dotnumber","highSC","easy",0.352,-1,1,6,0.23,5
"239",1,"dotnumber","highSC","hard",0.384,-1,1,4,1.178,5
"240",1,"dotnumber","highSC","easy",0.468,-1,1,6,0.211,5
