starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1607612210,xotask,0,0,training,mediumSC,easy,70,4555,['n'],0,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,1,0,training,mediumSC,average,19,1635,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,2,0,training,mediumSC,hard,25,1687,['c'],0,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,3,0,training,mediumSC,hard,27,1869,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,4,0,training,mediumSC,easy,5,1253,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,5,0,training,mediumSC,easy,72,1219,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,6,0,training,mediumSC,average,15,1886,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,7,0,training,mediumSC,easy,8,1186,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,8,0,training,mediumSC,hard,25,1152,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,9,0,training,mediumSC,average,64,1052,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,10,0,training,mediumSC,average,63,1219,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,11,0,training,mediumSC,hard,54,1453,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,12,0,training,mediumSC,average,63,1119,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,13,0,training,mediumSC,easy,73,886,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,14,0,training,mediumSC,hard,54,752,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,15,0,training,mediumSC,hard,50,684,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,16,0,training,mediumSC,easy,74,585,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,17,0,training,mediumSC,hard,52,536,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,18,0,training,mediumSC,average,16,968,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,19,0,training,mediumSC,easy,70,535,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,20,0,training,mediumSC,easy,5,518,['c'],0,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,21,0,training,mediumSC,hard,29,1468,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,22,0,training,mediumSC,easy,72,1119,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,23,0,training,mediumSC,easy,7,951,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,0,1,training,mediumSC,easy,7,969,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,1,1,training,mediumSC,easy,70,986,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,2,1,training,mediumSC,hard,50,752,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,3,1,training,mediumSC,average,61,1236,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,4,1,training,mediumSC,average,62,902,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,5,1,training,mediumSC,easy,71,919,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,6,1,training,mediumSC,hard,29,1386,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,7,1,training,mediumSC,hard,51,1119,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,8,1,training,mediumSC,hard,54,986,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,9,1,training,mediumSC,average,62,935,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,10,1,training,mediumSC,easy,7,818,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,11,1,training,mediumSC,easy,9,1385,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,12,1,training,mediumSC,hard,51,902,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,13,1,training,mediumSC,hard,54,535,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,14,1,training,mediumSC,hard,26,1036,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,15,1,training,mediumSC,average,18,1052,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,16,1,training,mediumSC,average,60,867,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,17,1,training,mediumSC,easy,72,852,['c'],1,left,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
,xotask,18,1,training,mediumSC,hard,26,618,['n'],1,right,none,-99,-99,,,,,,,,,,,18,18,Vrouw,Rechts,
