starttime,task,withinblocktrial,block,running,selfconf,difflevel,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,n_reddots,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1612783762,dotnumber,0,0,training,highSC,average,65,50,418,['c'],1,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,1,0,training,highSC,average,50,62,352,['n'],1,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,2,0,training,highSC,easy,28,50,385,['c'],0,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,3,0,training,highSC,hard,48,50,418,['c'],0,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,4,0,training,highSC,hard,50,46,551,['n'],0,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,5,0,training,highSC,hard,47,50,451,['c'],0,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,6,0,training,highSC,easy,73,50,568,['n'],0,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,7,0,training,highSC,easy,50,74,517,['n'],1,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,8,0,training,highSC,average,50,64,434,['n'],1,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,9,0,training,highSC,hard,50,55,369,['c'],0,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,10,0,training,highSC,hard,50,45,368,['n'],0,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,11,0,training,highSC,easy,50,74,368,['n'],1,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,12,0,training,highSC,easy,50,74,936,['n'],1,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,13,0,training,highSC,easy,28,50,652,['n'],1,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,14,0,training,highSC,easy,50,75,518,['n'],1,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,15,0,training,highSC,hard,53,50,535,['c'],1,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,16,0,training,highSC,hard,51,50,569,['n'],0,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,17,0,training,highSC,hard,51,50,552,['n'],0,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,18,0,training,highSC,easy,75,50,484,['c'],1,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,19,0,training,highSC,easy,26,50,385,['n'],1,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,20,0,training,highSC,average,35,50,401,['n'],1,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,21,0,training,highSC,hard,55,50,752,['n'],0,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,22,0,training,highSC,hard,50,49,368,['c'],1,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,23,0,training,highSC,average,39,50,535,['n'],1,right,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,0,1,training,highSC,average,50,36,435,['c'],1,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,1,1,training,highSC,easy,71,50,268,['n'],0,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
,dotnumber,2,1,training,highSC,easy,50,27,251,['c'],1,left,none,-99,-99,,,,,,,,,,29,18,Vrouw,Rechts,
