starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
1613382074,dotcolour,0,0,training,lowSC,average,26,802,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,1,0,training,lowSC,hard,38,434,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,2,0,training,lowSC,easy,63,402,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,3,0,training,lowSC,average,26,284,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,4,0,training,lowSC,average,55,268,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,5,0,training,lowSC,easy,15,352,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,6,0,training,lowSC,hard,44,268,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,7,0,training,lowSC,hard,44,435,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,8,0,training,lowSC,easy,62,317,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,9,0,training,lowSC,hard,38,402,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,10,0,training,lowSC,easy,19,384,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,11,0,training,lowSC,average,53,384,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,12,0,training,lowSC,average,26,385,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,13,0,training,lowSC,hard,39,250,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,14,0,training,lowSC,hard,41,268,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,15,0,training,lowSC,easy,61,368,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,16,0,training,lowSC,hard,39,351,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,17,0,training,lowSC,average,29,285,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,18,0,training,lowSC,easy,16,418,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,19,0,training,lowSC,easy,15,251,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,20,0,training,lowSC,hard,38,285,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,21,0,training,lowSC,average,51,318,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,22,0,training,lowSC,average,28,1353,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,23,0,training,lowSC,average,53,1219,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,0,1,training,lowSC,average,51,318,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,1,1,training,lowSC,average,25,267,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,2,1,training,lowSC,hard,42,385,['n'],0,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,3,1,training,lowSC,easy,19,285,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,4,1,training,lowSC,easy,19,284,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,5,1,training,lowSC,easy,63,284,['n'],0,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,6,1,training,lowSC,easy,63,284,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,7,1,training,lowSC,hard,39,318,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,8,1,training,lowSC,hard,44,334,['n'],0,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,9,1,training,lowSC,hard,42,318,['n'],0,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,10,1,training,lowSC,easy,19,284,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,11,1,training,lowSC,hard,37,301,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,12,1,training,lowSC,average,29,352,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,13,1,training,lowSC,hard,35,318,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,14,1,training,lowSC,easy,15,285,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,15,1,training,lowSC,hard,44,318,['n'],0,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,16,1,training,lowSC,hard,38,552,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,17,1,training,lowSC,average,52,302,['n'],0,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,18,1,training,lowSC,easy,19,434,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,19,1,training,lowSC,hard,45,301,['n'],0,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,20,1,training,lowSC,hard,41,334,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,21,1,training,lowSC,easy,65,267,['n'],0,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,22,1,training,lowSC,average,25,536,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,23,1,training,lowSC,average,54,285,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,0,2,training,lowSC,average,26,335,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,1,2,training,lowSC,average,51,351,['n'],0,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,2,2,training,lowSC,average,27,584,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,3,2,training,lowSC,easy,64,417,['c'],1,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,4,2,training,lowSC,easy,15,369,['n'],1,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,5,2,training,lowSC,easy,19,401,['c'],0,right,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
,dotcolour,6,2,training,lowSC,average,54,317,['n'],0,left,none,-99,-99,,,,,,,,,,,37,18,Vrouw,Rechts,
