withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,task,sub,age,gender,handedness,
0,0,training,33,47,10.682097599999906,['c'],0,right,['9'],5,2.613285299999916,[-0.57935242],4.0,47,colour,3,18,V,R,
1,0,training,47,33,3.366717200000494,['c'],1,left,['8'],4,2.0927729000004547,[0.33564409],89.0,47,colour,3,18,V,R,
2,0,training,33,47,4.099434499999916,['n'],1,right,['3'],3,1.8682868999994753,[-0.42022295],94.0,47,colour,3,18,V,R,
3,0,training,47,33,1.9832768999995096,['c'],1,left,['8'],4,2.7299369000002116,[0.3395502],86.0,47,colour,3,18,V,R,
4,0,training,33,47,1.382971400000315,['n'],1,right,['3'],3,0.9886789000001954,[-0.07867541],67.0,47,colour,3,18,V,R,
5,0,training,27,53,1.2830512999998973,['n'],1,right,['9'],5,1.4489512000000104,[-0.26053198],88.0,53,colour,3,18,V,R,
6,0,training,53,27,1.1169977999998082,['c'],1,left,['3'],3,0.7296695000004547,[0.2333442],92.0,53,colour,3,18,V,R,
7,0,training,47,33,1.099677299999712,['c'],1,left,['8'],4,0.6397462999993877,[0.13427673],82.0,47,colour,3,18,V,R,
8,0,training,47,33,1.6667857000002186,['n'],0,left,['3'],3,0.5948632999998154,[-0.01664533],55.0,47,colour,3,18,V,R,
9,0,training,44,36,0.867058900000302,['c'],1,left,['9'],5,0.7035839999998643,[0.27089541],95.0,44,colour,3,18,V,R,
10,0,training,53,27,1.2334032000007937,['c'],1,left,['3'],3,0.9617189999999027,[0.30926444],94.0,53,colour,3,18,V,R,
11,0,training,47,33,1.0334579999998823,['n'],0,left,['8'],4,0.7773969999998371,[0.16192454],16.0,47,colour,3,18,V,R,
12,0,training,27,53,0.8166395999996894,['n'],1,right,['3'],3,0.43304950000037934,[-0.10017855],80.0,53,colour,3,18,V,R,
13,0,training,44,36,0.8663629000002402,['c'],1,left,['9'],5,0.4761496999999508,[0.11437642],82.0,44,colour,3,18,V,R,
14,0,training,36,44,0.8507331000000704,['n'],1,right,['8'],4,0.3821342999999615,[-0.06812092],73.0,44,colour,3,18,V,R,
15,0,training,53,27,0.9664248999997653,['c'],1,left,['0'],6,0.40024559999983467,[0.07735736],75.0,53,colour,3,18,V,R,
16,0,training,44,36,0.8179660999994667,['n'],0,left,['8'],4,0.37510959999963234,[0.05258899],32.0,44,colour,3,18,V,R,
17,0,training,33,47,0.8164247000004252,['n'],1,right,['9'],5,0.3425630000001547,[-0.08844248],80.0,47,colour,3,18,V,R,
18,0,training,44,36,1.5497298000000228,['c'],1,left,['3'],3,0.20257070000025124,[0.00059808],50.0,44,colour,3,18,V,R,
19,0,training,44,36,0.9006348000002617,['n'],0,left,['9'],5,0.23803310000039346,[-0.00426528],52.0,44,colour,3,18,V,R,
20,0,training,47,33,0.8162255999995978,['c'],1,left,['9'],5,0.5471588000000338,[0.0613836],68.0,47,colour,3,18,V,R,
21,0,training,53,27,0.782842200000232,['c'],1,left,['0'],6,0.33363700000063545,[0.12504092],88.0,53,colour,3,18,V,R,
22,0,training,27,53,1.0168862000000445,['n'],1,right,['9'],5,0.23115079999934096,[-0.0522366],73.0,53,colour,3,18,V,R,
23,0,training,36,44,0.8004806999997527,['n'],1,right,['8'],4,0.2615138000001025,[-0.09082201],83.0,44,colour,3,18,V,R,
24,0,training,36,44,0.9160960999997769,['n'],1,right,['8'],4,0.261945299999752,[-0.08886877],83.0,44,colour,3,18,V,R,
25,0,training,27,53,0.6666819000001851,['n'],1,right,['0'],6,0.24819850000039878,[-0.10748698],87.0,53,colour,3,18,V,R,
26,0,training,53,27,0.7497542999999496,['c'],1,left,['9'],5,0.2558856999994532,[0.07569565],79.0,53,colour,3,18,V,R,
27,0,training,36,44,0.7000942000004216,['n'],1,right,['9'],5,0.22483370000009018,[-0.08346813],83.0,44,colour,3,18,V,R,
28,0,training,36,44,0.7501096000005418,['n'],1,right,['8'],4,0.2732845999998972,[-0.0905173],83.0,44,colour,3,18,V,R,
29,0,training,36,44,0.7676873999998861,['n'],1,right,['8'],4,0.3027483999994729,[-0.10702522],85.0,44,colour,3,18,V,R,
30,0,training,44,36,0.9831773000005342,['n'],0,left,['8'],4,0.22612310000022262,[-0.04923694],72.0,44,colour,3,18,V,R,
31,0,training,33,47,0.7165310999998837,['n'],1,right,['9'],5,0.21232710000003863,[-0.04360439],70.0,47,colour,3,18,V,R,
32,0,training,53,27,0.6497599000003902,['c'],1,left,['0'],6,0.26503870000033203,[0.10845937],87.0,53,colour,3,18,V,R,
33,0,training,33,47,0.8500168999999005,['n'],1,right,['0'],6,0.33198260000062874,[-0.12377461],87.0,47,colour,3,18,V,R,
34,0,training,27,53,0.6333684999999605,['n'],1,right,['9'],5,0.20499459999973624,[-0.09054445],86.0,53,colour,3,18,V,R,
35,0,training,27,53,0.583770000000186,['n'],1,right,['0'],6,0.18863129999954253,[-0.13419174],94.0,53,colour,3,18,V,R,
0,1,training,33,47,3.8333738000001176,['c'],0,right,['9'],5,0.8564517000004344,[-0.12395628],23.0,47,colour,3,18,V,R,
1,1,training,53,27,0.6501895000001241,['c'],1,left,['0'],6,0.14741959999992105,[0.07451125],85.0,53,colour,3,18,V,R,
2,1,training,36,44,0.8163087000002633,['n'],1,right,['9'],5,0.18038069999965956,[-0.05562534],76.0,44,colour,3,18,V,R,
3,1,training,36,44,0.7830265000002328,['n'],1,right,['9'],5,0.24538709999978892,[-0.02846053],63.0,44,colour,3,18,V,R,
4,1,training,47,33,0.6996816999999282,['c'],1,left,['0'],6,0.22345189999941795,[0.06360684],77.0,47,colour,3,18,V,R,
5,1,training,27,53,0.6666473999994196,['n'],1,right,['0'],6,0.27463989999978367,[-0.14566939],92.0,53,colour,3,18,V,R,
6,1,training,33,47,0.9996133000004193,['c'],0,right,['9'],5,0.31096899999920424,[-0.0285101],39.0,47,colour,3,18,V,R,
7,1,training,44,36,0.7335368000003655,['c'],1,left,['8'],4,0.29260509999949136,[0.03886378],66.0,44,colour,3,18,V,R,
8,1,training,36,44,0.883567399999265,['n'],1,right,['0'],6,0.1812104000000545,[-0.09907399],89.0,44,colour,3,18,V,R,
9,1,training,44,36,1.0334240000001955,['n'],0,left,['8'],4,0.3079091999998127,[-0.06533297],74.0,44,colour,3,18,V,R,
10,1,training,44,36,0.8338710999996692,['c'],1,left,['9'],5,0.22172969999974157,[0.11784854],90.0,44,colour,3,18,V,R,
11,1,training,47,33,0.7331225999996605,['c'],1,left,['9'],5,0.16655489999993733,[0.09322649],89.0,47,colour,3,18,V,R,
12,1,training,27,53,0.616527600000154,['n'],1,right,['0'],6,0.11086499999964872,[-0.0899732],92.0,53,colour,3,18,V,R,
13,1,training,53,27,0.6001654000001508,['c'],1,left,['0'],6,0.2977643000003809,[0.11716555],87.0,53,colour,3,18,V,R,
14,1,training,53,27,0.6837865000006786,['c'],1,left,['0'],6,0.19413670000085403,[0.11102792],91.0,53,colour,3,18,V,R,
15,1,training,53,27,0.7002675000003364,['c'],1,left,['0'],6,0.1415674999998373,[0.11669431],94.0,53,colour,3,18,V,R,
16,1,training,27,53,0.7668056000002252,['c'],0,right,['0'],6,0.19272369999998773,[0.03766603],68.0,53,colour,3,18,V,R,
17,1,training,47,33,0.7171699999998964,['c'],1,left,['9'],5,0.1397876000000906,[0.10467453],93.0,47,colour,3,18,V,R,
18,1,training,36,44,0.8168653999991875,['c'],0,right,['9'],5,0.30051949999960925,[0.12851246],89.0,44,colour,3,18,V,R,
