withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,task,sub,age,gender,handedness,
0,0,training,36,44,7.315434500000265,['n'],1,right,['9'],5,7.270294199999626,[-0.56095968],97.0,44,colour,3,17,V,R,
1,0,training,27,53,3.5660232999998698,['c'],0,right,['3'],3,17.483527699999286,[-3.50259176],0.0,53,colour,3,17,V,R,
2,0,training,27,53,2.76621139999952,['n'],1,right,['9'],5,3.7193741999999475,[-0.86379627],100.0,53,colour,3,17,V,R,
3,0,training,47,33,3.115714999999909,['c'],1,left,['3'],3,3.1900412000004508,[0.51896058],99.0,47,colour,3,17,V,R,
4,0,training,47,33,2.682750999999371,['c'],1,left,['2'],2,6.906843600000684,[0.7668134],99.0,47,colour,3,17,V,R,
5,0,training,44,36,1.732500500000242,['c'],1,left,['9'],5,3.0964975000006234,[0.37513487],96.0,44,colour,3,17,V,R,
6,0,training,36,44,4.0659396000000925,['n'],1,right,['2'],2,2.3862069999995583,[-0.2089497],86.0,44,colour,3,17,V,R,
7,0,training,44,36,1.732303700000557,['c'],1,left,['9'],5,3.2202876000001197,[0.68662571],100.0,44,colour,3,17,V,R,
8,0,training,44,36,1.283649900000455,['n'],0,left,['9'],5,1.047787900000003,[-0.07562679],59.0,44,colour,3,17,V,R,
9,0,training,47,33,1.5160922999994,['c'],1,left,['9'],5,3.9765917000004265,[0.59047092],99.0,47,colour,3,17,V,R,
10,0,training,27,53,2.116456799999469,['n'],1,right,['9'],5,1.100340199999664,[-0.24749432],96.0,53,colour,3,17,V,R,
11,0,training,47,33,1.31667809999999,['c'],1,left,['9'],5,2.0191985999999815,[0.28954455],95.0,47,colour,3,17,V,R,
12,0,training,27,53,1.366086400000313,['n'],1,right,['0'],6,0.8840147999999317,[-0.28063546],99.0,53,colour,3,17,V,R,
13,0,training,53,27,1.399514600000657,['c'],1,left,['9'],5,0.8157278999997288,[0.21944353],96.0,53,colour,3,17,V,R,
14,0,training,36,44,1.6834721999994144,['c'],0,right,['3'],3,2.0355770999995,[0.2946353],95.0,44,colour,3,17,V,R,
15,0,training,27,53,2.182240500000262,['n'],1,right,['0'],6,2.5786591999994926,[-0.6978986],100.0,53,colour,3,17,V,R,
16,0,training,53,27,1.3662926000006337,['c'],1,left,['0'],6,0.7165841999994882,[0.01673073],30.0,53,colour,3,17,V,R,
17,0,training,33,47,1.799140800000714,['n'],1,right,['9'],5,0.8392469999998866,[-0.13423676],82.0,47,colour,3,17,V,R,
18,0,training,36,44,1.3994577000003119,['n'],1,right,['9'],5,0.7418420000003607,[0.02386663],16.0,44,colour,3,17,V,R,
19,0,training,36,44,1.816302799999903,['n'],1,right,['8'],4,0.9272639999999228,[-0.11272936],74.0,44,colour,3,17,V,R,
20,0,training,53,27,1.5494579000005615,['c'],1,left,['9'],5,0.6761620999996012,[0.14921961],89.0,53,colour,3,17,V,R,
21,0,training,33,47,1.682932200000323,['n'],1,right,['0'],6,2.2617473999998765,[-0.41792162],99.0,47,colour,3,17,V,R,
22,0,training,33,47,3.149054200000137,['c'],0,right,['1'],1,1.077229399999851,[-0.12907196],4.0,47,colour,3,17,V,R,
23,0,training,44,36,3.199235499999304,['n'],0,left,['2'],2,1.4669171999994433,[-0.15997327],83.0,44,colour,3,17,V,R,
24,0,training,27,53,1.1831622999998217,['n'],1,right,['0'],6,0.4961961999997584,[0.01337331],15.0,53,colour,3,17,V,R,
25,0,training,53,27,1.1000091999994766,['c'],1,left,['0'],6,1.2726278999998613,[0.16158299],84.0,53,colour,3,17,V,R,
26,0,training,33,47,3.0657569000004514,['n'],1,right,['3'],3,1.0589991999995618,[-0.23308028],96.0,47,colour,3,17,V,R,
27,0,training,47,33,1.5826359000002412,['c'],1,left,['8'],4,2.2412343999994846,[0.40163532],98.0,47,colour,3,17,V,R,
28,0,training,44,36,2.133175200000551,['c'],1,left,['3'],3,0.47372140000061336,[0.08458794],68.0,44,colour,3,17,V,R,
29,0,training,33,47,4.248597800000425,['n'],1,right,['8'],4,2.4608361999999033,[-0.08038942],57.0,47,colour,3,17,V,R,
30,0,training,33,47,1.6331858000003194,['n'],1,right,['3'],3,0.5371265000003405,[-0.22310219],98.0,47,colour,3,17,V,R,
31,0,training,36,44,1.7996315999998842,['n'],1,right,['3'],3,0.33925079999971786,[-0.17738871],98.0,44,colour,3,17,V,R,
32,0,training,44,36,1.9327031000002535,['c'],1,left,['8'],4,0.40818080000008194,[-0.00321052],16.0,44,colour,3,17,V,R,
33,0,training,53,27,1.849623299999621,['c'],1,left,['0'],6,0.4056170000003476,[0.15158885],94.0,53,colour,3,17,V,R,
34,0,training,53,27,1.1500051000002713,['c'],1,left,['0'],6,0.6870669999998427,[0.24550697],98.0,53,colour,3,17,V,R,
35,0,training,47,33,2.349062199999935,['c'],1,left,['9'],5,0.7973513999995703,[0.25133209],98.0,47,colour,3,17,V,R,
0,1,training,33,47,5.84961789999943,['c'],0,right,['3'],3,0.7204286000005595,[-0.15784505],1.0,47,colour,3,17,V,R,
