withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,questionID,questionResp,sub,age,gender,handedness,
0,0,training,27,53,0.7172036000001754,['n'],1,right,['8'],4,1.8788820000002033,[-0.66124459],100.0,53,easy,plus,colour,beta,,,33,24,M,R,
1,0,training,36,44,1.4497381999999561,['n'],1,right,['3'],3,0.7596304999999575,[-0.18554935],99.0,44,hard,plus,colour,beta,,,33,24,M,R,
2,0,training,53,27,1.8322484000000259,['c'],1,left,['9'],5,1.0792691999999988,[0.34178703],100.0,53,easy,plus,colour,beta,,,33,24,M,R,
3,0,training,53,27,0.9501807999999983,['c'],1,left,['0'],6,0.5570072000000437,[0.07440513],96.0,53,easy,plus,colour,beta,,,33,24,M,R,
4,0,training,44,36,1.583055399999921,['c'],1,left,['9'],5,0.5584859000000506,[0.09504953],97.0,44,hard,plus,colour,beta,,,33,24,M,R,
5,0,training,47,33,1.066689199999928,['c'],1,left,['8'],4,0.8048599000001104,[0.11703003],97.0,47,medium,plus,colour,beta,,,33,24,M,R,
6,0,training,44,36,0.9332260000001042,['c'],1,left,['8'],4,0.34166129999994155,[0.1922186],100.0,44,hard,plus,colour,beta,,,33,24,M,R,
7,0,training,33,47,1.066486599999962,['n'],1,right,['3'],3,0.4851489000000129,[-0.17192587],100.0,47,medium,plus,colour,beta,,,33,24,M,R,
8,0,training,47,33,0.683487199999945,['c'],1,left,['9'],5,0.333197200000086,[0.17133606],100.0,47,medium,plus,colour,beta,,,33,24,M,R,
9,0,training,44,36,0.8829716999998709,['c'],1,left,['9'],5,0.38784229999987474,[0.19974135],100.0,44,hard,plus,colour,beta,,,33,24,M,R,
10,0,training,33,47,0.7660685999999259,['n'],1,right,['9'],5,0.39690539999992325,[-0.1235593],99.0,47,medium,plus,colour,beta,,,33,24,M,R,
11,0,training,47,33,0.7659774000001107,['c'],1,left,['9'],5,0.24566789999994398,[0.04888007],98.0,47,medium,plus,colour,beta,,,33,24,M,R,
12,0,training,33,47,0.7168724999999085,['n'],1,right,['8'],4,0.6307879000000867,[-0.03269478],88.0,47,medium,plus,colour,beta,,,33,24,M,R,
13,0,training,36,44,0.9500362000001132,['c'],0,right,['8'],4,0.22288660000003802,[0.04081647],98.0,44,hard,plus,colour,beta,,,33,24,M,R,
14,0,training,36,44,1.8331905000000006,['n'],1,right,['3'],3,0.4841784000000189,[-0.09861812],98.0,44,hard,plus,colour,beta,,,33,24,M,R,
15,0,training,27,53,1.0000965000001543,['n'],1,right,['9'],5,0.5443725000000086,[-0.03856514],91.0,53,easy,plus,colour,beta,,,33,24,M,R,
16,0,training,44,36,0.6837926000000607,['c'],1,left,['9'],5,0.31076200000006793,[0.14717107],100.0,44,hard,plus,colour,beta,,,33,24,M,R,
17,0,training,44,36,0.8827660999997988,['c'],1,left,['8'],4,0.4463100000000395,[0.0061571],84.0,44,hard,plus,colour,beta,,,33,24,M,R,
18,0,training,53,27,0.6832171999999446,['c'],1,left,['9'],5,0.28060049999999137,[0.00791353],90.0,53,easy,plus,colour,beta,,,33,24,M,R,
19,0,training,47,33,0.7339847000000645,['c'],1,left,['8'],4,0.23160280000001876,[0.16646813],100.0,47,medium,plus,colour,beta,,,33,24,M,R,
20,0,training,27,53,0.7829317000000628,['n'],1,right,['8'],4,0.3743861000000379,[-0.18301404],100.0,53,easy,plus,colour,beta,,,33,24,M,R,
21,0,training,36,44,0.7167638999999326,['c'],0,right,['3'],3,0.49814500000002226,[0.06989372],96.0,44,hard,plus,colour,beta,,,33,24,M,R,
22,0,training,27,53,0.7997786999999335,['n'],1,right,['8'],4,0.5178146999999171,[0.03625017],62.0,53,easy,plus,colour,beta,,,33,24,M,R,
23,0,training,33,47,1.216834800000015,['n'],1,right,['3'],3,0.6317193999998381,[-0.14746968],99.0,47,medium,plus,colour,beta,,,33,24,M,R,
24,0,training,53,27,0.6997667000000547,['c'],1,left,['9'],5,0.20227380000005724,[0.07473635],99.0,53,easy,plus,colour,beta,,,33,24,M,R,
25,0,training,36,44,0.7997956000001523,['c'],0,right,['3'],3,0.31254199999989396,[0.0446822],96.0,44,hard,plus,colour,beta,,,33,24,M,R,
26,0,training,47,33,0.7329896999999619,['c'],1,left,['9'],5,0.5341571999999815,[0.11622557],99.0,47,medium,plus,colour,beta,,,33,24,M,R,
27,0,training,27,53,0.850318100000095,['n'],1,right,['8'],4,0.613815299999942,[-0.28500324],100.0,53,easy,plus,colour,beta,,,33,24,M,R,
28,0,training,33,47,0.783168200000091,['n'],1,right,['3'],3,1.0300242000000708,[-0.23435526],99.0,47,medium,plus,colour,beta,,,33,24,M,R,
