starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,stoptime,sub,age,gender,handedness,session,
1714978791,dotcolour,dotcolour,xotask,0,0,0,0,training,positivefb,93,average,28,2.2506186000000525,['n'],1,right,['3'],3,3.8797139000000698,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,1,0,1,1,training,positivefb,97,easy,16,1.5335062000001471,['n'],1,right,['8'],4,2.326772099999971,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,2,0,2,2,training,positivefb,79,average,29,1.6670136000000184,['n'],1,right,['8'],4,0.8543650999999954,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,3,0,3,3,training,positivefb,93,average,55,2.0178613999999016,['c'],1,left,['9'],5,1.5718693999999687,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,4,0,4,4,training,positivefb,4,easy,64,2.5833949000000302,['n'],0,left,['8'],4,2.5014878000001772,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,5,0,5,5,training,positivefb,100,easy,15,0.8839505000000827,['n'],1,right,['0'],6,0.8214703000001009,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,6,0,6,6,training,positivefb,85,average,25,1.76688809999996,['n'],1,right,['9'],5,0.5900836999999228,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,7,0,7,7,training,positivefb,82,hard,44,1.8831451000000925,['n'],0,left,['0'],6,0.315058800000088,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,8,0,8,8,training,positivefb,79,easy,65,1.4485541999999896,['c'],1,left,['0'],6,0.8920232000000397,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,9,0,9,9,training,positivefb,60,hard,45,1.1342062000001079,['n'],0,left,['0'],6,0.475687999999991,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,10,0,10,10,training,positivefb,94,easy,17,1.0994178999999349,['n'],1,right,['0'],6,0.31705809999994017,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,11,0,11,11,training,positivefb,96,average,53,1.1329070000001593,['c'],1,left,['8'],4,1.0594303999998829,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,12,0,12,12,training,positivefb,98,average,55,0.7998866000000362,['c'],1,left,['9'],5,0.6252594000000045,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,13,0,13,13,training,positivefb,86,easy,63,1.1338206999998874,['c'],1,left,['9'],5,0.2915736999998444,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,14,0,14,14,training,positivefb,86,average,27,1.0838008000000627,['n'],1,right,['9'],5,0.45280700000012075,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,15,0,15,15,training,positivefb,51,hard,42,2.0341977000000497,['n'],0,left,['8'],4,1.737682199999881,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,16,0,16,16,training,positivefb,92,average,52,1.4004001999999218,['c'],1,left,['0'],6,0.6037240999999085,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,17,0,17,17,training,positivefb,68,hard,42,1.4999940000000151,['n'],0,left,['9'],5,0.655696700000135,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,18,0,18,18,training,positivefb,95,easy,62,0.9162395999999262,['c'],1,left,['0'],6,0.3531120000000101,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,19,0,19,19,training,positivefb,94,hard,36,1.6167946000000484,['n'],1,right,['3'],3,1.1223201999998764,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,20,0,20,20,training,positivefb,72,hard,39,1.7498447999998916,['n'],1,right,['8'],4,0.3517117999999755,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,21,0,21,21,training,positivefb,92,average,26,0.833321000000069,['n'],1,right,['0'],6,0.2563964000000851,,,12,18,Vrouw,Rechts,1,
,dotcolour,dotcolour,xotask,22,0,22,22,training,positivefb,90,easy,62,1.1003137999998671,['c'],1,left,['0'],6,0.3144142999999531,,,12,18,Vrouw,Rechts,1,
