starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,stoptime,sub,age,gender,handedness,session,
1715588949,dotcolour,dotcolour,dotcolour,0,0,0,0,training,positivefb,100,easy,64,0.7996667999996134,['c'],1,left,['8'],4,1.1182644000000437,,,13,19,Vrouw,Rechts,1,
,dotcolour,dotcolour,dotcolour,1,0,1,1,training,positivefb,94,average,53,0.5667661999996199,['c'],1,left,['9'],5,0.33145370000056573,,,13,19,Vrouw,Rechts,1,
,dotcolour,dotcolour,dotcolour,2,0,2,2,training,positivefb,89,easy,19,0.5668283999993946,['n'],1,right,['9'],5,0.3120666999993773,,,13,19,Vrouw,Rechts,1,
,dotcolour,dotcolour,dotcolour,3,0,3,3,training,positivefb,99,easy,63,0.5668729999997595,['c'],1,left,['9'],5,0.26151219999974273,,,13,19,Vrouw,Rechts,1,
,dotcolour,dotcolour,dotcolour,4,0,4,4,training,positivefb,97,hard,44,0.6004593999996359,['n'],0,left,['9'],5,0.2836795000002894,,,13,19,Vrouw,Rechts,1,
,dotcolour,dotcolour,dotcolour,5,0,5,5,training,positivefb,98,hard,42,0.7169646000002103,['c'],1,left,['8'],4,0.3794336999999359,,,13,19,Vrouw,Rechts,1,
,dotcolour,dotcolour,dotcolour,6,0,6,6,training,positivefb,94,hard,37,0.6173806000006152,['n'],1,right,['8'],4,0.2598740999992515,,,13,19,Vrouw,Rechts,1,
,dotcolour,dotcolour,dotcolour,7,0,7,7,training,positivefb,97,easy,61,0.7500275000002148,['c'],1,left,['9'],5,0.26847970000017085,,,13,19,Vrouw,Rechts,1,
,dotcolour,dotcolour,dotcolour,8,0,8,8,training,positivefb,92,hard,45,0.7993604000002961,['n'],0,left,['8'],4,0.2899414000003162,,,13,19,Vrouw,Rechts,1,
,dotcolour,dotcolour,dotcolour,9,0,9,9,training,positivefb,99,hard,43,0.5665543000004618,['c'],1,left,['8'],4,0.23195720000057918,,,13,19,Vrouw,Rechts,1,
,dotcolour,dotcolour,dotcolour,10,0,10,10,training,positivefb,97,average,54,0.5002623999998832,['c'],1,left,['8'],4,0.21910299999944982,,,13,19,Vrouw,Rechts,1,
