starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,n_xes,post1,post2,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1715675565,dotcolour,dotcolour,dotcolour,0,0,0,0,training,positivefb,76,hard,39,0.900101100000029,['n'],1,right,['8'],4,1.172260900000083,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,1,0,1,1,training,positivefb,63,hard,42,0.6338553000000502,['n'],0,left,['8'],4,0.8036894000001666,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,2,0,2,2,training,positivefb,90,easy,17,0.48347899999998845,['n'],1,right,['9'],5,0.9842753000000357,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,3,0,3,3,training,positivefb,86,hard,42,0.5995636000000104,['n'],0,left,['3'],3,1.1370339999998578,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,4,0,4,4,training,positivefb,18,average,54,0.7010909000000538,['n'],0,left,['8'],4,1.5437283000001116,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,5,0,5,5,training,positivefb,94,average,28,0.5667381999999179,['n'],1,right,['9'],5,0.4752222999998139,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,6,0,6,6,training,positivefb,89,easy,18,0.5651794000000336,['n'],1,right,['0'],6,0.6013013000001592,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,7,0,7,7,training,positivefb,97,hard,36,0.5174697999998443,['n'],1,right,['8'],4,0.5251337999998213,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,8,0,8,8,training,positivefb,100,easy,61,0.567248999999947,['c'],1,left,['9'],5,0.4660679999999502,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,9,0,9,9,training,positivefb,96,easy,17,0.5012369000000945,['n'],1,right,['9'],5,0.5311426000000665,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,10,0,10,10,training,positivefb,99,easy,17,0.5335526999999729,['n'],1,right,['9'],5,0.4170953999998801,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,11,0,11,11,training,positivefb,98,easy,17,0.4500997999998617,['n'],1,right,['0'],6,0.5026261000000432,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,12,0,12,12,training,positivefb,99,easy,61,0.5169327999999496,['c'],1,left,['9'],5,0.7498878000001241,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,13,0,13,13,training,positivefb,50,hard,43,0.5341845000000376,['n'],0,left,['3'],3,1.4100508999999875,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,14,0,14,14,training,positivefb,98,hard,36,0.5156403999999384,['n'],1,right,['9'],5,0.48482339999986834,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,15,0,15,15,training,positivefb,93,average,55,0.5331108999998833,['c'],1,left,['9'],5,0.4197564999999486,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,16,0,16,16,training,positivefb,96,average,25,0.49859809999998106,['n'],1,right,['0'],6,0.5355349000001297,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,17,0,17,17,training,positivefb,75,easy,18,0.5002243000001272,['n'],1,right,['0'],6,0.4708992999999282,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,18,0,18,18,training,positivefb,98,easy,64,0.48407049999991614,['c'],1,left,['9'],5,0.688414400000056,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,19,0,19,19,training,positivefb,78,average,51,0.566711899999973,['c'],1,left,['8'],4,0.4468153999998776,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,20,0,20,20,training,positivefb,99,hard,36,0.39879610000002685,['n'],1,right,['9'],5,0.5174067000000377,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,21,0,21,21,training,positivefb,92,easy,63,0.516186800000014,['c'],1,left,['9'],5,0.6191697000001568,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,22,0,22,22,training,positivefb,91,easy,64,0.6835559999999532,['c'],1,left,['0'],6,0.4075616000000082,,,,,,,,31,19,Vrouw,Rechts,2,
,dotcolour,dotcolour,dotcolour,23,0,23,23,training,positivefb,99,average,55,0.5168575000000146,['c'],1,left,['9'],5,0.37922230000003765,,,,,,,,31,19,Vrouw,Rechts,2,
