starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,post1,post3,post4,post5,stoptime,sub,age,gender,handedness,session,
1715324408,xotask,xotask,dotcolour,0,0,0,0,training,positivefb,96,hard,28,1.0343635000000404,['n'],1,right,['2'],5,1.3477861999999732,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,1,0,1,1,training,positivefb,69,hard,25,0.8174327000000403,['n'],1,right,['1'],6,0.36514549999992596,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,2,0,2,2,training,positivefb,67,average,60,2.800644499999976,['n'],0,left,['3'],4,0.47061439999993127,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,3,0,3,3,training,positivefb,98,easy,70,0.9335661000000073,['c'],1,left,['1'],6,0.358507599999939,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,4,0,4,4,training,positivefb,86,hard,52,1.5340852000000496,['c'],1,left,['2'],5,0.12301830000001246,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,5,0,5,5,training,positivefb,96,average,15,0.749685599999907,['n'],1,right,['1'],6,0.1845519000000877,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,6,0,6,6,training,positivefb,94,hard,26,0.91721849999999,['n'],1,right,['1'],6,0.13284550000003037,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,7,0,7,7,training,positivefb,94,hard,28,0.6003242000000455,['n'],1,right,['1'],6,0.16729899999995723,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,8,0,8,8,training,positivefb,90,hard,51,1.0344463000000133,['c'],1,left,['2'],5,0.2796260000000075,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,9,0,9,9,training,positivefb,90,easy,73,0.6494777999999997,['c'],1,left,['1'],6,0.43447660000003907,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,10,0,10,10,training,positivefb,90,easy,74,0.516534399999955,['c'],1,left,['1'],6,0.17257649999999103,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,11,0,11,11,training,positivefb,77,hard,54,1.333541099999934,['c'],1,left,['2'],5,0.08049730000004729,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,12,0,12,12,training,positivefb,96,easy,72,1.0167822999999316,['c'],1,left,['3'],4,0.17359750000002805,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,13,0,13,13,training,positivefb,98,average,64,0.9840370999999095,['c'],1,left,['3'],4,0.2072725000000446,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,14,0,14,14,training,positivefb,96,easy,6,0.5846555000000535,['n'],1,right,['1'],6,0.08838789999992969,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,15,0,15,15,training,positivefb,97,easy,9,0.516407099999924,['n'],1,right,['1'],6,0.0322280000000319,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,16,0,16,16,training,positivefb,93,hard,50,1.2502522000000909,['c'],1,left,['3'],4,0.3247237000000496,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,17,0,17,17,training,positivefb,86,easy,8,0.8504636999999775,['n'],1,right,['1'],6,0.13408960000003844,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,18,0,18,18,training,positivefb,93,average,16,0.6329021999999895,['n'],1,right,['1'],6,0.055471199999942655,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,19,0,19,19,training,positivefb,96,easy,71,0.6005821999999625,['c'],1,left,['1'],6,0.07738829999993868,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,20,0,20,20,training,positivefb,92,average,16,0.7667271999999912,['n'],1,right,['2'],5,0.1241367000000082,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,21,0,21,21,training,positivefb,99,average,64,0.6494069999999965,['c'],1,left,['2'],5,1.0139537999999675,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,22,0,22,22,training,positivefb,97,easy,6,0.6170487000000549,['n'],1,right,['1'],6,0.09267399999998815,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,23,0,23,23,training,positivefb,79,average,18,1.2000883999999132,['n'],1,right,['1'],6,0.16137449999996534,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,24,0,24,24,training,positivefb,91,easy,6,0.6011561000000256,['n'],1,right,['1'],6,0.10777470000004996,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,25,0,25,25,training,positivefb,97,easy,74,0.7510711999999558,['c'],1,left,['3'],4,0.4175384000000122,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,26,0,26,26,training,positivefb,100,average,64,0.8845512000000326,['c'],1,left,['8'],3,1.5258109000000104,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,27,0,27,27,training,positivefb,89,average,19,1.033961999999974,['n'],1,right,['1'],6,0.09486660000004576,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,28,0,28,28,training,positivefb,96,average,61,1.1336933000000045,['c'],1,left,['3'],4,0.32661830000006375,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,29,0,29,29,training,positivefb,93,average,63,1.1661415999999463,['c'],1,left,['2'],5,0.475354799999991,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,30,0,30,30,training,positivefb,91,easy,8,0.7505281999999625,['n'],1,right,['1'],6,0.07429990000002817,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,31,0,31,31,training,positivefb,79,average,62,2.316656299999977,['c'],1,left,['3'],4,0.6028917999999521,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,32,0,32,32,training,positivefb,92,easy,71,0.9835816000000932,['c'],1,left,['1'],6,0.21153370000001814,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,33,0,33,33,training,positivefb,88,hard,52,1.467381199999977,['n'],0,left,['1'],6,0.07320790000005672,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,34,0,34,34,training,positivefb,81,average,60,0.766747099999975,['c'],1,left,['2'],5,0.2319251000000122,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,35,0,35,35,training,positivefb,94,hard,28,0.9501252000000022,['n'],1,right,['1'],6,0.10436060000006364,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,36,0,36,36,training,positivefb,92,easy,71,0.8503681000000824,['c'],1,left,['1'],6,0.14633119999996325,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,37,0,37,37,training,positivefb,84,hard,52,0.8994171999999026,['c'],1,left,['3'],4,0.24914830000000165,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,38,0,38,38,training,positivefb,97,hard,27,0.6174432999999908,['n'],1,right,['1'],6,0.07857260000002952,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,39,0,39,39,training,positivefb,97,easy,73,0.7162480999999161,['c'],1,left,['1'],6,0.10310179999999036,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,40,0,40,40,training,positivefb,76,hard,29,2.2339604999999665,['n'],1,right,['3'],4,0.08219710000003033,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,41,0,41,41,training,positivefb,95,hard,25,0.7331040999999914,['n'],1,right,['1'],6,0.04122899999993024,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,42,0,42,42,training,positivefb,98,hard,29,0.5994887000000517,['n'],1,right,['1'],6,0.10382979999997133,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,43,0,43,43,training,positivefb,77,hard,54,2.0662108999999873,['c'],1,left,['2'],5,0.14518280000004324,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,44,0,44,44,training,positivefb,81,hard,52,2.4507971000000452,['c'],1,left,['3'],4,0.04213479999998526,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,45,0,45,45,training,positivefb,94,average,15,0.7001409000000649,['n'],1,right,['1'],6,0.03655570000000807,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,46,0,46,46,training,positivefb,98,average,17,0.5338567000000012,['n'],1,right,['1'],6,0.04592220000006364,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,47,0,47,47,training,positivefb,97,easy,7,0.5509547000000339,['n'],1,right,['1'],6,0.046647599999914746,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,48,0,48,48,training,positivefb,83,hard,25,1.33297749999997,['n'],1,right,['3'],4,0.15999539999995704,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,49,0,49,49,training,positivefb,98,average,18,0.9666447000000744,['n'],1,right,['2'],5,0.21138410000003205,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,50,0,50,50,training,positivefb,81,hard,53,0.9663937999999916,['n'],0,left,['1'],6,0.22069039999996676,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,51,0,51,51,training,positivefb,98,average,15,0.5666009000000258,['n'],1,right,['1'],6,0.07739379999998164,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,52,0,52,52,training,positivefb,94,average,64,0.816287500000044,['c'],1,left,['1'],6,0.08222659999989901,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,53,0,53,53,training,positivefb,90,average,18,0.6839595000000145,['n'],1,right,['1'],6,0.09927259999994931,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,54,0,54,54,training,positivefb,68,average,60,1.8510707000000366,['n'],0,left,['2'],5,0.48539929999992637,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,55,0,55,55,training,positivefb,55,hard,50,1.7162074000000302,['n'],0,left,['3'],4,0.3974522999999408,,,,,,,3,19,Man,Rechts,2,
,xotask,xotask,dotcolour,56,0,56,56,training,positivefb,92,easy,6,0.8007155000000239,['n'],1,right,['1'],6,0.038255900000081056,,,,,,,3,19,Man,Rechts,2,
