starttime,task,fbtask,firsttask,withinblocktrial,block,withintasktrial,trial,running,feedback,fbscore,difflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,reddots,stoptime,sub,age,gender,handedness,session,
1714739642,xotask,xotask,xotask,0,0,0,0,training,positivefb,100,easy,6,1.9341703000000052,['n'],1,right,['8'],4,12.45817390000002,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,1,0,1,1,training,positivefb,93,hard,54,3.2338009000000056,['c'],1,left,['8'],4,2.88214569999991,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,2,0,2,2,training,positivefb,51,hard,50,6.28418529999999,['c'],1,left,['8'],4,4.54609309999978,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,3,0,3,3,training,positivefb,95,easy,5,1.6169576000002053,['n'],1,right,['8'],4,1.2901352000001225,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,4,0,4,4,training,positivefb,83,average,19,1.4502313999998933,['n'],1,right,['8'],4,0.7960083000000395,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,5,0,5,5,training,positivefb,94,easy,5,1.6334947000000284,['n'],1,right,['8'],4,1.0193272999999863,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,6,0,6,6,training,positivefb,87,hard,26,4.966524400000026,['n'],1,right,['8'],4,7.891796699999986,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,7,0,7,7,training,positivefb,94,easy,73,0.9671289999998862,['c'],1,left,['8'],4,0.7181551999999556,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,8,0,8,8,training,positivefb,90,average,16,0.967062199999873,['n'],1,right,['8'],4,0.6913689000000431,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,9,0,9,9,training,positivefb,89,average,64,1.017268999999942,['n'],0,left,['8'],4,0.6790639999999257,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,10,0,10,10,training,positivefb,97,easy,9,1.0009688000000097,['n'],1,right,['8'],4,0.7002577999999176,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,11,0,11,11,training,positivefb,96,easy,74,1.0002488000000085,['c'],1,left,['8'],4,0.6723221999998259,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,12,0,12,12,training,positivefb,99,average,17,0.8156827000000249,['n'],1,right,['8'],4,0.6130067999999937,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,13,0,13,13,training,positivefb,92,hard,50,1.0669484000000011,['c'],1,left,['8'],4,0.4824993000001996,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,14,0,14,14,training,positivefb,74,hard,50,0.9844728000000487,['c'],1,left,['8'],4,0.471791999999823,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,15,0,15,15,training,positivefb,93,hard,27,1.2679330999999365,['c'],0,right,['8'],4,0.3784689999999955,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,16,0,16,16,training,positivefb,91,average,64,0.93382059999999,['c'],1,left,['8'],4,0.6147167999999965,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,17,0,17,17,training,positivefb,56,hard,52,0.8508475000000999,['c'],1,left,['8'],4,0.46873409999989235,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,18,0,18,18,training,positivefb,25,average,16,1.032777299999907,['c'],0,right,['9'],5,1.2882887999999184,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,19,0,19,19,training,positivefb,99,easy,74,1.234092000000146,['c'],1,left,['8'],4,1.6993149999998423,,,8,20,Vrouw,Rechts,1,
,xotask,xotask,xotask,20,0,20,20,training,positivefb,98,hard,52,1.2002992000000177,['n'],0,left,['8'],4,0.7349421000001257,,,8,20,Vrouw,Rechts,1,
